French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
car,because
aucun,no
laisse,leash
eux,them
chaque,each
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
aucune,any
place,square
compris,understood
savais,knew
étaient,were
donner,give
type,type
leurs,their
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
première,first
côté,side
sois,be
tiens,here
tellement,so much
point,point
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
mari,husband
espère,hope
eau,water
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
filles,girls
bureau,office
